Category: All categories

Day,cough: (Canada)
2020-04-01,100
2020-04-02,81
2020-04-03,66
2020-04-04,89
2020-04-05,90
2020-04-06,79
2020-04-07,80
2020-04-08,76
2020-04-09,68
2020-04-10,65
2020-04-11,69
2020-04-12,62
2020-04-13,61
2020-04-14,42
2020-04-15,50
2020-04-16,52
2020-04-17,50
2020-04-18,53
2020-04-19,46
2020-04-20,39
2020-04-21,53
2020-04-22,46
2020-04-23,48
2020-04-24,50
2020-04-25,38
2020-04-26,47
2020-04-27,50
2020-04-28,37
2020-04-29,42
2020-04-30,36
2020-05-01,39
2020-05-02,29
2020-05-03,32
2020-05-04,37
2020-05-05,48
2020-05-06,39
2020-05-07,38
2020-05-08,48
2020-05-09,35
2020-05-10,47
2020-05-11,34
2020-05-12,37
2020-05-13,44
2020-05-14,36
2020-05-15,27
2020-05-16,37
2020-05-17,28
2020-05-18,40
2020-05-19,34
2020-05-20,30
2020-05-21,31
2020-05-22,29
2020-05-23,34
2020-05-24,33
2020-05-25,25
2020-05-26,27
2020-05-27,23
2020-05-28,30
2020-05-29,32
2020-05-30,29
2020-05-31,33
2020-06-01,40
2020-06-02,25
2020-06-03,28
2020-06-04,31
2020-06-05,26
2020-06-06,28
2020-06-07,33
2020-06-08,25
2020-06-09,32
2020-06-10,27
2020-06-11,29
2020-06-12,34
2020-06-13,35
2020-06-14,25
2020-06-15,30
2020-06-16,32
2020-06-17,30
2020-06-18,30
2020-06-19,23
2020-06-20,30
2020-06-21,23
2020-06-22,32
2020-06-23,36
2020-06-24,24
2020-06-25,24
2020-06-26,30
2020-06-27,23
2020-06-28,21
2020-06-29,24
2020-06-30,22
2020-07-01,21
2020-07-02,36
2020-07-03,27
2020-07-04,36
2020-07-05,27
2020-07-06,31
2020-07-07,34
2020-07-08,31
2020-07-09,25
2020-07-10,32
2020-07-11,31
2020-07-12,28
2020-07-13,33
2020-07-14,26
2020-07-15,37
2020-07-16,22
2020-07-17,33
2020-07-18,29
2020-07-19,37
2020-07-20,27
2020-07-21,29
2020-07-22,29
2020-07-23,30
2020-07-24,41
2020-07-25,36
2020-07-26,31
2020-07-27,20
2020-07-28,26
2020-07-29,38
2020-07-30,36
2020-07-31,33
2020-08-01,37
2020-08-02,27
2020-08-03,27
2020-08-04,37
2020-08-05,19
2020-08-06,37
2020-08-07,33
2020-08-08,56
2020-08-09,36
2020-08-10,29
2020-08-11,38
2020-08-12,20
2020-08-13,35
2020-08-14,27
2020-08-15,37
2020-08-16,28
2020-08-17,36
2020-08-18,28
2020-08-19,26
2020-08-20,23
2020-08-21,30
2020-08-22,30
2020-08-23,43
2020-08-24,39
2020-08-25,43
2020-08-26,26
2020-08-27,40
2020-08-28,34
2020-08-29,34
2020-08-30,26
2020-08-31,34
2020-09-01,35
2020-09-02,28
2020-09-03,35
2020-09-04,28
2020-09-05,32
2020-09-06,46
2020-09-07,29
2020-09-08,27
2020-09-09,27
2020-09-10,30
2020-09-11,34
2020-09-12,30
2020-09-13,38
2020-09-14,41
2020-09-15,31
2020-09-16,37
2020-09-17,40
2020-09-18,36
2020-09-19,36
2020-09-20,42
2020-09-21,36
2020-09-22,31
2020-09-23,38
2020-09-24,54
2020-09-25,52
2020-09-26,52
2020-09-27,42
2020-09-28,54
2020-09-29,58
2020-09-30,52
2020-10-01,58
2020-10-02,39
2020-10-03,64
2020-10-04,54
2020-10-05,54
2020-10-06,62
2020-10-07,48
2020-10-08,43
2020-10-09,52
2020-10-10,41
2020-10-11,53
2020-10-12,53
2020-10-13,46
2020-10-14,46
2020-10-15,51
2020-10-16,41
2020-10-17,48
2020-10-18,42
2020-10-19,48
2020-10-20,42
2020-10-21,50
2020-10-22,44
2020-10-23,39
2020-10-24,46
2020-10-25,40
2020-10-26,50
2020-10-27,36
2020-10-28,48
2020-10-29,40
2020-10-30,33
2020-10-31,56
2020-11-01,48
2020-11-02,54
2020-11-03,51
2020-11-04,35
2020-11-05,32
2020-11-06,41
2020-11-07,34
2020-11-08,41
2020-11-09,50
2020-11-10,49
2020-11-11,45
2020-11-12,40
2020-11-13,44
2020-11-14,50
2020-11-15,54
2020-11-16,43
2020-11-17,49
2020-11-18,50
2020-11-19,35
2020-11-20,41
2020-11-21,33
2020-11-22,38
2020-11-23,43
2020-11-24,52
2020-11-25,51
2020-11-26,39
2020-11-27,41
2020-11-28,46
2020-11-29,42
2020-11-30,46
