Category: All categories

Day,fatigue: (Canada)
2020-04-01,32
2020-04-02,34
2020-04-03,42
2020-04-04,39
2020-04-05,26
2020-04-06,40
2020-04-07,44
2020-04-08,49
2020-04-09,44
2020-04-10,55
2020-04-11,44
2020-04-12,54
2020-04-13,68
2020-04-14,61
2020-04-15,51
2020-04-16,55
2020-04-17,56
2020-04-18,42
2020-04-19,34
2020-04-20,39
2020-04-21,44
2020-04-22,41
2020-04-23,36
2020-04-24,71
2020-04-25,53
2020-04-26,48
2020-04-27,36
2020-04-28,42
2020-04-29,50
2020-04-30,51
2020-05-01,51
2020-05-02,38
2020-05-03,35
2020-05-04,40
2020-05-05,50
2020-05-06,51
2020-05-07,38
2020-05-08,49
2020-05-09,56
2020-05-10,72
2020-05-11,56
2020-05-12,69
2020-05-13,56
2020-05-14,65
2020-05-15,56
2020-05-16,52
2020-05-17,59
2020-05-18,46
2020-05-19,60
2020-05-20,42
2020-05-21,64
2020-05-22,41
2020-05-23,50
2020-05-24,48
2020-05-25,48
2020-05-26,36
2020-05-27,48
2020-05-28,64
2020-05-29,45
2020-05-30,41
2020-05-31,47
2020-06-01,49
2020-06-02,58
2020-06-03,57
2020-06-04,62
2020-06-05,51
2020-06-06,46
2020-06-07,46
2020-06-08,54
2020-06-09,52
2020-06-10,50
2020-06-11,57
2020-06-12,42
2020-06-13,69
2020-06-14,59
2020-06-15,73
2020-06-16,60
2020-06-17,73
2020-06-18,49
2020-06-19,53
2020-06-20,62
2020-06-21,53
2020-06-22,62
2020-06-23,47
2020-06-24,57
2020-06-25,68
2020-06-26,42
2020-06-27,51
2020-06-28,65
2020-06-29,57
2020-06-30,56
2020-07-01,50
2020-07-02,43
2020-07-03,42
2020-07-04,65
2020-07-05,47
2020-07-06,56
2020-07-07,58
2020-07-08,69
2020-07-09,61
2020-07-10,55
2020-07-11,52
2020-07-12,47
2020-07-13,57
2020-07-14,54
2020-07-15,64
2020-07-16,70
2020-07-17,72
2020-07-18,50
2020-07-19,69
2020-07-20,58
2020-07-21,84
2020-07-22,77
2020-07-23,76
2020-07-24,49
2020-07-25,66
2020-07-26,76
2020-07-27,51
2020-07-28,82
2020-07-29,70
2020-07-30,67
2020-07-31,41
2020-08-01,63
2020-08-02,60
2020-08-03,61
2020-08-04,61
2020-08-05,64
2020-08-06,73
2020-08-07,64
2020-08-08,53
2020-08-09,53
2020-08-10,68
2020-08-11,65
2020-08-12,93
2020-08-13,51
2020-08-14,45
2020-08-15,56
2020-08-16,63
2020-08-17,52
2020-08-18,52
2020-08-19,53
2020-08-20,60
2020-08-21,64
2020-08-22,51
2020-08-23,65
2020-08-24,64
2020-08-25,56
2020-08-26,49
2020-08-27,50
2020-08-28,63
2020-08-29,62
2020-08-30,62
2020-08-31,67
2020-09-01,57
2020-09-02,52
2020-09-03,63
2020-09-04,56
2020-09-05,53
2020-09-06,42
2020-09-07,54
2020-09-08,69
2020-09-09,53
2020-09-10,88
2020-09-11,50
2020-09-12,57
2020-09-13,55
2020-09-14,67
2020-09-15,31
2020-09-16,63
2020-09-17,66
2020-09-18,59
2020-09-19,51
2020-09-20,56
2020-09-21,79
2020-09-22,68
2020-09-23,86
2020-09-24,58
2020-09-25,57
2020-09-26,45
2020-09-27,62
2020-09-28,41
2020-09-29,54
2020-09-30,66
2020-10-01,74
2020-10-02,48
2020-10-03,61
2020-10-04,49
2020-10-05,63
2020-10-06,51
2020-10-07,53
2020-10-08,58
2020-10-09,62
2020-10-10,44
2020-10-11,40
2020-10-12,45
2020-10-13,70
2020-10-14,73
2020-10-15,59
2020-10-16,63
2020-10-17,46
2020-10-18,60
2020-10-19,68
2020-10-20,59
2020-10-21,83
2020-10-22,38
2020-10-23,49
2020-10-24,65
2020-10-25,57
2020-10-26,76
2020-10-27,49
2020-10-28,62
2020-10-29,71
2020-10-30,62
2020-10-31,36
2020-11-01,53
2020-11-02,57
2020-11-03,42
2020-11-04,41
2020-11-05,54
2020-11-06,31
2020-11-07,51
2020-11-08,42
2020-11-09,69
2020-11-10,63
2020-11-11,77
2020-11-12,66
2020-11-13,50
2020-11-14,68
2020-11-15,58
2020-11-16,60
2020-11-17,100
2020-11-18,64
2020-11-19,68
2020-11-20,50
2020-11-21,36
2020-11-22,55
2020-11-23,66
2020-11-24,64
2020-11-25,45
2020-11-26,56
2020-11-27,53
2020-11-28,51
2020-11-29,77
2020-11-30,38
