Category: All categories

Day,fever: (Canada)
2020-04-01,78
2020-04-02,94
2020-04-03,88
2020-04-04,81
2020-04-05,86
2020-04-06,80
2020-04-07,87
2020-04-08,86
2020-04-09,74
2020-04-10,68
2020-04-11,79
2020-04-12,100
2020-04-13,84
2020-04-14,71
2020-04-15,64
2020-04-16,63
2020-04-17,65
2020-04-18,69
2020-04-19,63
2020-04-20,63
2020-04-21,62
2020-04-22,62
2020-04-23,62
2020-04-24,57
2020-04-25,61
2020-04-26,58
2020-04-27,57
2020-04-28,57
2020-04-29,69
2020-04-30,49
2020-05-01,53
2020-05-02,65
2020-05-03,59
2020-05-04,62
2020-05-05,57
2020-05-06,46
2020-05-07,55
2020-05-08,44
2020-05-09,58
2020-05-10,46
2020-05-11,46
2020-05-12,55
2020-05-13,49
2020-05-14,43
2020-05-15,51
2020-05-16,66
2020-05-17,41
2020-05-18,46
2020-05-19,50
2020-05-20,51
2020-05-21,52
2020-05-22,53
2020-05-23,51
2020-05-24,67
2020-05-25,45
2020-05-26,33
2020-05-27,42
2020-05-28,44
2020-05-29,49
2020-05-30,38
2020-05-31,50
2020-06-01,38
2020-06-02,37
2020-06-03,52
2020-06-04,33
2020-06-05,49
2020-06-06,41
2020-06-07,59
2020-06-08,43
2020-06-09,39
2020-06-10,37
2020-06-11,41
2020-06-12,51
2020-06-13,46
2020-06-14,55
2020-06-15,44
2020-06-16,46
2020-06-17,48
2020-06-18,41
2020-06-19,40
2020-06-20,35
2020-06-21,46
2020-06-22,51
2020-06-23,42
2020-06-24,50
2020-06-25,48
2020-06-26,37
2020-06-27,55
2020-06-28,59
2020-06-29,40
2020-06-30,40
2020-07-01,53
2020-07-02,51
2020-07-03,40
2020-07-04,50
2020-07-05,58
2020-07-06,49
2020-07-07,55
2020-07-08,52
2020-07-09,64
2020-07-10,64
2020-07-11,54
2020-07-12,58
2020-07-13,54
2020-07-14,44
2020-07-15,51
2020-07-16,51
2020-07-17,50
2020-07-18,67
2020-07-19,49
2020-07-20,47
2020-07-21,49
2020-07-22,56
2020-07-23,43
2020-07-24,75
2020-07-25,71
2020-07-26,53
2020-07-27,57
2020-07-28,45
2020-07-29,59
2020-07-30,56
2020-07-31,54
2020-08-01,48
2020-08-02,54
2020-08-03,38
2020-08-04,40
2020-08-05,48
2020-08-06,54
2020-08-07,42
2020-08-08,40
2020-08-09,67
2020-08-10,61
2020-08-11,54
2020-08-12,50
2020-08-13,42
2020-08-14,55
2020-08-15,51
2020-08-16,36
2020-08-17,46
2020-08-18,47
2020-08-19,47
2020-08-20,52
2020-08-21,33
2020-08-22,49
2020-08-23,53
2020-08-24,53
2020-08-25,58
2020-08-26,53
2020-08-27,54
2020-08-28,39
2020-08-29,49
2020-08-30,44
2020-08-31,50
2020-09-01,51
2020-09-02,63
2020-09-03,51
2020-09-04,47
2020-09-05,59
2020-09-06,51
2020-09-07,43
2020-09-08,54
2020-09-09,52
2020-09-10,52
2020-09-11,49
2020-09-12,47
2020-09-13,45
2020-09-14,38
2020-09-15,55
2020-09-16,60
2020-09-17,64
2020-09-18,61
2020-09-19,58
2020-09-20,63
2020-09-21,78
2020-09-22,51
2020-09-23,54
2020-09-24,64
2020-09-25,63
2020-09-26,63
2020-09-27,55
2020-09-28,66
2020-09-29,73
2020-09-30,55
2020-10-01,58
2020-10-02,64
2020-10-03,73
2020-10-04,73
2020-10-05,83
2020-10-06,63
2020-10-07,54
2020-10-08,71
2020-10-09,46
2020-10-10,60
2020-10-11,64
2020-10-12,45
2020-10-13,51
2020-10-14,48
2020-10-15,49
2020-10-16,51
2020-10-17,61
2020-10-18,50
2020-10-19,49
2020-10-20,50
2020-10-21,55
2020-10-22,52
2020-10-23,46
2020-10-24,52
2020-10-25,55
2020-10-26,60
2020-10-27,40
2020-10-28,51
2020-10-29,51
2020-10-30,57
2020-10-31,52
2020-11-01,42
2020-11-02,36
2020-11-03,46
2020-11-04,36
2020-11-05,46
2020-11-06,48
2020-11-07,50
2020-11-08,57
2020-11-09,63
2020-11-10,65
2020-11-11,47
2020-11-12,49
2020-11-13,51
2020-11-14,47
2020-11-15,54
2020-11-16,48
2020-11-17,53
2020-11-18,53
2020-11-19,55
2020-11-20,47
2020-11-21,44
2020-11-22,50
2020-11-23,52
2020-11-24,43
2020-11-25,52
2020-11-26,60
2020-11-27,63
2020-11-28,50
2020-11-29,49
2020-11-30,62
