Category: All categories

Day,flu: (Canada)
2020-04-01,53
2020-04-02,55
2020-04-03,52
2020-04-04,58
2020-04-05,60
2020-04-06,50
2020-04-07,41
2020-04-08,38
2020-04-09,45
2020-04-10,48
2020-04-11,47
2020-04-12,43
2020-04-13,35
2020-04-14,31
2020-04-15,33
2020-04-16,31
2020-04-17,32
2020-04-18,31
2020-04-19,33
2020-04-20,27
2020-04-21,28
2020-04-22,35
2020-04-23,29
2020-04-24,25
2020-04-25,28
2020-04-26,33
2020-04-27,27
2020-04-28,29
2020-04-29,27
2020-04-30,21
2020-05-01,20
2020-05-02,24
2020-05-03,24
2020-05-04,19
2020-05-05,21
2020-05-06,21
2020-05-07,19
2020-05-08,23
2020-05-09,23
2020-05-10,21
2020-05-11,20
2020-05-12,18
2020-05-13,21
2020-05-14,18
2020-05-15,17
2020-05-16,19
2020-05-17,21
2020-05-18,21
2020-05-19,17
2020-05-20,16
2020-05-21,15
2020-05-22,15
2020-05-23,16
2020-05-24,22
2020-05-25,18
2020-05-26,15
2020-05-27,14
2020-05-28,17
2020-05-29,11
2020-05-30,11
2020-05-31,10
2020-06-01,10
2020-06-02,7
2020-06-03,10
2020-06-04,9
2020-06-05,7
2020-06-06,9
2020-06-07,11
2020-06-08,10
2020-06-09,8
2020-06-10,8
2020-06-11,9
2020-06-12,9
2020-06-13,8
2020-06-14,9
2020-06-15,7
2020-06-16,7
2020-06-17,8
2020-06-18,9
2020-06-19,8
2020-06-20,8
2020-06-21,14
2020-06-22,11
2020-06-23,8
2020-06-24,11
2020-06-25,11
2020-06-26,9
2020-06-27,11
2020-06-28,13
2020-06-29,16
2020-06-30,45
2020-07-01,26
2020-07-02,15
2020-07-03,13
2020-07-04,12
2020-07-05,10
2020-07-06,14
2020-07-07,11
2020-07-08,12
2020-07-09,11
2020-07-10,9
2020-07-11,8
2020-07-12,8
2020-07-13,8
2020-07-14,13
2020-07-15,11
2020-07-16,10
2020-07-17,13
2020-07-18,12
2020-07-19,15
2020-07-20,10
2020-07-21,13
2020-07-22,12
2020-07-23,12
2020-07-24,10
2020-07-25,13
2020-07-26,14
2020-07-27,10
2020-07-28,10
2020-07-29,10
2020-07-30,11
2020-07-31,10
2020-08-01,11
2020-08-02,11
2020-08-03,14
2020-08-04,13
2020-08-05,15
2020-08-06,12
2020-08-07,11
2020-08-08,12
2020-08-09,13
2020-08-10,11
2020-08-11,18
2020-08-12,16
2020-08-13,14
2020-08-14,13
2020-08-15,12
2020-08-16,16
2020-08-17,10
2020-08-18,11
2020-08-19,11
2020-08-20,11
2020-08-21,12
2020-08-22,11
2020-08-23,12
2020-08-24,10
2020-08-25,11
2020-08-26,11
2020-08-27,11
2020-08-28,10
2020-08-29,11
2020-08-30,12
2020-08-31,10
2020-09-01,12
2020-09-02,12
2020-09-03,16
2020-09-04,13
2020-09-05,12
2020-09-06,13
2020-09-07,16
2020-09-08,17
2020-09-09,17
2020-09-10,21
2020-09-11,20
2020-09-12,14
2020-09-13,14
2020-09-14,19
2020-09-15,18
2020-09-16,21
2020-09-17,20
2020-09-18,26
2020-09-19,21
2020-09-20,19
2020-09-21,24
2020-09-22,33
2020-09-23,34
2020-09-24,31
2020-09-25,24
2020-09-26,23
2020-09-27,22
2020-09-28,27
2020-09-29,35
2020-09-30,30
2020-10-01,28
2020-10-02,29
2020-10-03,29
2020-10-04,30
2020-10-05,38
2020-10-06,55
2020-10-07,59
2020-10-08,67
2020-10-09,70
2020-10-10,63
2020-10-11,59
2020-10-12,47
2020-10-13,76
2020-10-14,82
2020-10-15,100
2020-10-16,85
2020-10-17,69
2020-10-18,58
2020-10-19,87
2020-10-20,96
2020-10-21,77
2020-10-22,80
2020-10-23,67
2020-10-24,58
2020-10-25,57
2020-10-26,68
2020-10-27,71
2020-10-28,74
2020-10-29,65
2020-10-30,59
2020-10-31,52
2020-11-01,40
2020-11-02,62
2020-11-03,62
2020-11-04,47
2020-11-05,51
2020-11-06,37
2020-11-07,35
2020-11-08,32
2020-11-09,44
2020-11-10,39
2020-11-11,40
2020-11-12,41
2020-11-13,39
2020-11-14,31
2020-11-15,41
2020-11-16,46
2020-11-17,44
2020-11-18,41
2020-11-19,36
2020-11-20,35
2020-11-21,33
2020-11-22,33
2020-11-23,31
2020-11-24,27
2020-11-25,28
2020-11-26,30
2020-11-27,23
2020-11-28,28
2020-11-29,23
2020-11-30,26
