Category: All categories

Day,headache: (Canada)
2020-04-01,81
2020-04-02,90
2020-04-03,82
2020-04-04,80
2020-04-05,93
2020-04-06,54
2020-04-07,88
2020-04-08,64
2020-04-09,78
2020-04-10,83
2020-04-11,85
2020-04-12,73
2020-04-13,81
2020-04-14,73
2020-04-15,93
2020-04-16,89
2020-04-17,76
2020-04-18,87
2020-04-19,100
2020-04-20,73
2020-04-21,88
2020-04-22,66
2020-04-23,73
2020-04-24,96
2020-04-25,93
2020-04-26,70
2020-04-27,67
2020-04-28,96
2020-04-29,74
2020-04-30,59
2020-05-01,65
2020-05-02,81
2020-05-03,85
2020-05-04,66
2020-05-05,65
2020-05-06,54
2020-05-07,42
2020-05-08,72
2020-05-09,79
2020-05-10,73
2020-05-11,76
2020-05-12,60
2020-05-13,65
2020-05-14,64
2020-05-15,77
2020-05-16,67
2020-05-17,65
2020-05-18,59
2020-05-19,66
2020-05-20,52
2020-05-21,71
2020-05-22,71
2020-05-23,61
2020-05-24,31
2020-05-25,52
2020-05-26,73
2020-05-27,73
2020-05-28,68
2020-05-29,53
2020-05-30,65
2020-05-31,70
2020-06-01,56
2020-06-02,62
2020-06-03,69
2020-06-04,69
2020-06-05,56
2020-06-06,62
2020-06-07,84
2020-06-08,50
2020-06-09,54
2020-06-10,77
2020-06-11,62
2020-06-12,55
2020-06-13,54
2020-06-14,60
2020-06-15,45
2020-06-16,53
2020-06-17,53
2020-06-18,64
2020-06-19,70
2020-06-20,57
2020-06-21,71
2020-06-22,77
2020-06-23,68
2020-06-24,40
2020-06-25,44
2020-06-26,57
2020-06-27,79
2020-06-28,56
2020-06-29,68
2020-06-30,77
2020-07-01,68
2020-07-02,81
2020-07-03,67
2020-07-04,60
2020-07-05,59
2020-07-06,54
2020-07-07,65
2020-07-08,75
2020-07-09,49
2020-07-10,70
2020-07-11,51
2020-07-12,65
2020-07-13,69
2020-07-14,43
2020-07-15,67
2020-07-16,68
2020-07-17,60
2020-07-18,65
2020-07-19,77
2020-07-20,63
2020-07-21,86
2020-07-22,51
2020-07-23,70
2020-07-24,56
2020-07-25,82
2020-07-26,92
2020-07-27,70
2020-07-28,66
2020-07-29,57
2020-07-30,64
2020-07-31,61
2020-08-01,55
2020-08-02,66
2020-08-03,62
2020-08-04,38
2020-08-05,57
2020-08-06,56
2020-08-07,63
2020-08-08,80
2020-08-09,77
2020-08-10,71
2020-08-11,60
2020-08-12,61
2020-08-13,65
2020-08-14,79
2020-08-15,62
2020-08-16,46
2020-08-17,52
2020-08-18,71
2020-08-19,66
2020-08-20,54
2020-08-21,54
2020-08-22,63
2020-08-23,67
2020-08-24,53
2020-08-25,71
2020-08-26,56
2020-08-27,66
2020-08-28,73
2020-08-29,48
2020-08-30,52
2020-08-31,85
2020-09-01,66
2020-09-02,69
2020-09-03,62
2020-09-04,73
2020-09-05,73
2020-09-06,70
2020-09-07,66
2020-09-08,70
2020-09-09,53
2020-09-10,67
2020-09-11,67
2020-09-12,56
2020-09-13,79
2020-09-14,68
2020-09-15,76
2020-09-16,67
2020-09-17,80
2020-09-18,66
2020-09-19,84
2020-09-20,97
2020-09-21,58
2020-09-22,87
2020-09-23,62
2020-09-24,93
2020-09-25,63
2020-09-26,37
2020-09-27,59
2020-09-28,87
2020-09-29,84
2020-09-30,56
2020-10-01,69
2020-10-02,74
2020-10-03,68
2020-10-04,66
2020-10-05,84
2020-10-06,79
2020-10-07,68
2020-10-08,84
2020-10-09,64
2020-10-10,78
2020-10-11,72
2020-10-12,67
2020-10-13,47
2020-10-14,59
2020-10-15,75
2020-10-16,74
2020-10-17,74
2020-10-18,64
2020-10-19,71
2020-10-20,48
2020-10-21,50
2020-10-22,76
2020-10-23,71
2020-10-24,70
2020-10-25,45
2020-10-26,65
2020-10-27,57
2020-10-28,73
2020-10-29,50
2020-10-30,66
2020-10-31,54
2020-11-01,69
2020-11-02,61
2020-11-03,73
2020-11-04,57
2020-11-05,74
2020-11-06,52
2020-11-07,65
2020-11-08,62
2020-11-09,60
2020-11-10,95
2020-11-11,60
2020-11-12,59
2020-11-13,61
2020-11-14,51
2020-11-15,75
2020-11-16,79
2020-11-17,41
2020-11-18,80
2020-11-19,43
2020-11-20,77
2020-11-21,46
2020-11-22,52
2020-11-23,63
2020-11-24,69
2020-11-25,58
2020-11-26,71
2020-11-27,66
2020-11-28,68
2020-11-29,77
2020-11-30,80
