Category: All categories

Day,lockdown: (Canada)
2020-04-01,14
2020-04-02,12
2020-04-03,12
2020-04-04,10
2020-04-05,10
2020-04-06,10
2020-04-07,9
2020-04-08,8
2020-04-09,9
2020-04-10,10
2020-04-11,9
2020-04-12,10
2020-04-13,12
2020-04-14,12
2020-04-15,7
2020-04-16,9
2020-04-17,7
2020-04-18,7
2020-04-19,8
2020-04-20,7
2020-04-21,10
2020-04-22,8
2020-04-23,10
2020-04-24,10
2020-04-25,8
2020-04-26,8
2020-04-27,9
2020-04-28,7
2020-04-29,6
2020-04-30,7
2020-05-01,7
2020-05-02,6
2020-05-03,6
2020-05-04,6
2020-05-05,6
2020-05-06,6
2020-05-07,5
2020-05-08,7
2020-05-09,5
2020-05-10,5
2020-05-11,7
2020-05-12,7
2020-05-13,6
2020-05-14,6
2020-05-15,6
2020-05-16,8
2020-05-17,5
2020-05-18,7
2020-05-19,5
2020-05-20,5
2020-05-21,4
2020-05-22,4
2020-05-23,4
2020-05-24,5
2020-05-25,4
2020-05-26,3
2020-05-27,3
2020-05-28,5
2020-05-29,4
2020-05-30,5
2020-05-31,4
2020-06-01,4
2020-06-02,3
2020-06-03,3
2020-06-04,2
2020-06-05,2
2020-06-06,2
2020-06-07,3
2020-06-08,4
2020-06-09,3
2020-06-10,2
2020-06-11,3
2020-06-12,2
2020-06-13,3
2020-06-14,3
2020-06-15,3
2020-06-16,3
2020-06-17,3
2020-06-18,2
2020-06-19,3
2020-06-20,1
2020-06-21,2
2020-06-22,2
2020-06-23,2
2020-06-24,1
2020-06-25,2
2020-06-26,2
2020-06-27,2
2020-06-28,2
2020-06-29,3
2020-06-30,2
2020-07-01,2
2020-07-02,1
2020-07-03,1
2020-07-04,1
2020-07-05,2
2020-07-06,2
2020-07-07,2
2020-07-08,3
2020-07-09,3
2020-07-10,2
2020-07-11,2
2020-07-12,2
2020-07-13,2
2020-07-14,3
2020-07-15,2
2020-07-16,2
2020-07-17,1
2020-07-18,2
2020-07-19,2
2020-07-20,2
2020-07-21,2
2020-07-22,2
2020-07-23,2
2020-07-24,2
2020-07-25,1
2020-07-26,1
2020-07-27,2
2020-07-28,2
2020-07-29,1
2020-07-30,2
2020-07-31,1
2020-08-01,1
2020-08-02,2
2020-08-03,3
2020-08-04,2
2020-08-05,2
2020-08-06,2
2020-08-07,2
2020-08-08,2
2020-08-09,2
2020-08-10,3
2020-08-11,3
2020-08-12,1
2020-08-13,2
2020-08-14,2
2020-08-15,1
2020-08-16,1
2020-08-17,1
2020-08-18,1
2020-08-19,1
2020-08-20,2
2020-08-21,1
2020-08-22,2
2020-08-23,2
2020-08-24,1
2020-08-25,1
2020-08-26,1
2020-08-27,2
2020-08-28,1
2020-08-29,1
2020-08-30,2
2020-08-31,2
2020-09-01,2
2020-09-02,2
2020-09-03,2
2020-09-04,2
2020-09-05,2
2020-09-06,2
2020-09-07,2
2020-09-08,2
2020-09-09,2
2020-09-10,2
2020-09-11,1
2020-09-12,2
2020-09-13,3
2020-09-14,3
2020-09-15,4
2020-09-16,3
2020-09-17,3
2020-09-18,4
2020-09-19,3
2020-09-20,3
2020-09-21,4
2020-09-22,4
2020-09-23,5
2020-09-24,4
2020-09-25,4
2020-09-26,3
2020-09-27,5
2020-09-28,7
2020-09-29,8
2020-09-30,7
2020-10-01,6
2020-10-02,5
2020-10-03,4
2020-10-04,5
2020-10-05,4
2020-10-06,3
2020-10-07,4
2020-10-08,2
2020-10-09,7
2020-10-10,7
2020-10-11,6
2020-10-12,5
2020-10-13,5
2020-10-14,4
2020-10-15,4
2020-10-16,4
2020-10-17,3
2020-10-18,4
2020-10-19,5
2020-10-20,4
2020-10-21,3
2020-10-22,4
2020-10-23,2
2020-10-24,3
2020-10-25,2
2020-10-26,4
2020-10-27,5
2020-10-28,4
2020-10-29,6
2020-10-30,4
2020-10-31,9
2020-11-01,12
2020-11-02,13
2020-11-03,8
2020-11-04,5
2020-11-05,5
2020-11-06,4
2020-11-07,8
2020-11-08,13
2020-11-09,7
2020-11-10,16
2020-11-11,17
2020-11-12,15
2020-11-13,19
2020-11-14,12
2020-11-15,12
2020-11-16,12
2020-11-17,11
2020-11-18,14
2020-11-19,28
2020-11-20,100
2020-11-21,75
2020-11-22,40
2020-11-23,52
2020-11-24,50
2020-11-25,30
2020-11-26,16
2020-11-27,11
2020-11-28,11
2020-11-29,9
2020-11-30,10
