Category: All categories

Day,sick: (Canada)
2020-04-01,83
2020-04-02,85
2020-04-03,84
2020-04-04,68
2020-04-05,67
2020-04-06,84
2020-04-07,75
2020-04-08,68
2020-04-09,73
2020-04-10,62
2020-04-11,75
2020-04-12,61
2020-04-13,88
2020-04-14,74
2020-04-15,81
2020-04-16,66
2020-04-17,74
2020-04-18,53
2020-04-19,79
2020-04-20,66
2020-04-21,82
2020-04-22,66
2020-04-23,68
2020-04-24,66
2020-04-25,59
2020-04-26,58
2020-04-27,82
2020-04-28,80
2020-04-29,100
2020-04-30,74
2020-05-01,58
2020-05-02,43
2020-05-03,48
2020-05-04,65
2020-05-05,64
2020-05-06,55
2020-05-07,78
2020-05-08,59
2020-05-09,56
2020-05-10,50
2020-05-11,59
2020-05-12,52
2020-05-13,63
2020-05-14,72
2020-05-15,65
2020-05-16,61
2020-05-17,54
2020-05-18,63
2020-05-19,55
2020-05-20,63
2020-05-21,47
2020-05-22,60
2020-05-23,67
2020-05-24,70
2020-05-25,94
2020-05-26,94
2020-05-27,68
2020-05-28,71
2020-05-29,71
2020-05-30,56
2020-05-31,45
2020-06-01,70
2020-06-02,59
2020-06-03,54
2020-06-04,58
2020-06-05,61
2020-06-06,61
2020-06-07,58
2020-06-08,62
2020-06-09,73
2020-06-10,50
2020-06-11,60
2020-06-12,70
2020-06-13,46
2020-06-14,65
2020-06-15,79
2020-06-16,51
2020-06-17,68
2020-06-18,83
2020-06-19,88
2020-06-20,61
2020-06-21,51
2020-06-22,87
2020-06-23,79
2020-06-24,69
2020-06-25,66
2020-06-26,75
2020-06-27,65
2020-06-28,42
2020-06-29,50
2020-06-30,47
2020-07-01,55
2020-07-02,71
2020-07-03,62
2020-07-04,58
2020-07-05,62
2020-07-06,60
2020-07-07,63
2020-07-08,67
2020-07-09,65
2020-07-10,55
2020-07-11,64
2020-07-12,63
2020-07-13,66
2020-07-14,53
2020-07-15,76
2020-07-16,79
2020-07-17,67
2020-07-18,55
2020-07-19,47
2020-07-20,55
2020-07-21,58
2020-07-22,79
2020-07-23,55
2020-07-24,71
2020-07-25,61
2020-07-26,58
2020-07-27,74
2020-07-28,61
2020-07-29,68
2020-07-30,80
2020-07-31,74
2020-08-01,48
2020-08-02,58
2020-08-03,49
2020-08-04,69
2020-08-05,60
2020-08-06,80
2020-08-07,62
2020-08-08,57
2020-08-09,70
2020-08-10,62
2020-08-11,85
2020-08-12,76
2020-08-13,56
2020-08-14,72
2020-08-15,54
2020-08-16,56
2020-08-17,51
2020-08-18,70
2020-08-19,52
2020-08-20,85
2020-08-21,43
2020-08-22,61
2020-08-23,53
2020-08-24,44
2020-08-25,58
2020-08-26,76
2020-08-27,61
2020-08-28,76
2020-08-29,66
2020-08-30,73
2020-08-31,39
2020-09-01,75
2020-09-02,83
2020-09-03,58
2020-09-04,61
2020-09-05,54
2020-09-06,63
2020-09-07,71
2020-09-08,79
2020-09-09,67
2020-09-10,67
2020-09-11,77
2020-09-12,42
2020-09-13,47
2020-09-14,49
2020-09-15,64
2020-09-16,73
2020-09-17,61
2020-09-18,65
2020-09-19,49
2020-09-20,77
2020-09-21,76
2020-09-22,82
2020-09-23,64
2020-09-24,80
2020-09-25,69
2020-09-26,83
2020-09-27,60
2020-09-28,97
2020-09-29,89
2020-09-30,69
2020-10-01,51
2020-10-02,97
2020-10-03,92
2020-10-04,84
2020-10-05,94
2020-10-06,92
2020-10-07,91
2020-10-08,94
2020-10-09,98
2020-10-10,75
2020-10-11,52
2020-10-12,66
2020-10-13,76
2020-10-14,93
2020-10-15,96
2020-10-16,90
2020-10-17,44
2020-10-18,73
2020-10-19,83
2020-10-20,64
2020-10-21,92
2020-10-22,96
2020-10-23,75
2020-10-24,49
2020-10-25,63
2020-10-26,91
2020-10-27,79
2020-10-28,74
2020-10-29,46
2020-10-30,81
2020-10-31,66
2020-11-01,70
2020-11-02,80
2020-11-03,80
2020-11-04,62
2020-11-05,37
2020-11-06,49
2020-11-07,58
2020-11-08,50
2020-11-09,75
2020-11-10,70
2020-11-11,46
2020-11-12,65
2020-11-13,62
2020-11-14,88
2020-11-15,62
2020-11-16,99
2020-11-17,78
2020-11-18,81
2020-11-19,86
2020-11-20,74
2020-11-21,70
2020-11-22,80
2020-11-23,70
2020-11-24,81
2020-11-25,69
2020-11-26,68
2020-11-27,59
2020-11-28,64
2020-11-29,54
2020-11-30,65
