Category: All categories

Day,symptoms: (Canada)
2020-04-01,97
2020-04-02,100
2020-04-03,95
2020-04-04,94
2020-04-05,88
2020-04-06,83
2020-04-07,88
2020-04-08,79
2020-04-09,73
2020-04-10,76
2020-04-11,76
2020-04-12,71
2020-04-13,72
2020-04-14,68
2020-04-15,63
2020-04-16,65
2020-04-17,65
2020-04-18,66
2020-04-19,66
2020-04-20,62
2020-04-21,62
2020-04-22,63
2020-04-23,67
2020-04-24,58
2020-04-25,61
2020-04-26,66
2020-04-27,58
2020-04-28,67
2020-04-29,61
2020-04-30,58
2020-05-01,51
2020-05-02,58
2020-05-03,57
2020-05-04,59
2020-05-05,58
2020-05-06,57
2020-05-07,59
2020-05-08,54
2020-05-09,56
2020-05-10,54
2020-05-11,65
2020-05-12,57
2020-05-13,52
2020-05-14,59
2020-05-15,51
2020-05-16,49
2020-05-17,60
2020-05-18,59
2020-05-19,59
2020-05-20,54
2020-05-21,63
2020-05-22,53
2020-05-23,58
2020-05-24,55
2020-05-25,58
2020-05-26,60
2020-05-27,55
2020-05-28,54
2020-05-29,56
2020-05-30,55
2020-05-31,55
2020-06-01,56
2020-06-02,58
2020-06-03,56
2020-06-04,56
2020-06-05,55
2020-06-06,54
2020-06-07,58
2020-06-08,52
2020-06-09,54
2020-06-10,55
2020-06-11,55
2020-06-12,49
2020-06-13,56
2020-06-14,58
2020-06-15,57
2020-06-16,56
2020-06-17,60
2020-06-18,53
2020-06-19,56
2020-06-20,58
2020-06-21,52
2020-06-22,62
2020-06-23,61
2020-06-24,68
2020-06-25,67
2020-06-26,62
2020-06-27,68
2020-06-28,63
2020-06-29,64
2020-06-30,66
2020-07-01,61
2020-07-02,67
2020-07-03,65
2020-07-04,65
2020-07-05,70
2020-07-06,72
2020-07-07,72
2020-07-08,69
2020-07-09,66
2020-07-10,67
2020-07-11,58
2020-07-12,69
2020-07-13,73
2020-07-14,74
2020-07-15,65
2020-07-16,60
2020-07-17,62
2020-07-18,58
2020-07-19,64
2020-07-20,61
2020-07-21,67
2020-07-22,69
2020-07-23,63
2020-07-24,60
2020-07-25,66
2020-07-26,64
2020-07-27,62
2020-07-28,62
2020-07-29,64
2020-07-30,61
2020-07-31,61
2020-08-01,62
2020-08-02,62
2020-08-03,57
2020-08-04,63
2020-08-05,62
2020-08-06,60
2020-08-07,65
2020-08-08,65
2020-08-09,58
2020-08-10,64
2020-08-11,66
2020-08-12,53
2020-08-13,66
2020-08-14,58
2020-08-15,58
2020-08-16,62
2020-08-17,57
2020-08-18,56
2020-08-19,55
2020-08-20,61
2020-08-21,55
2020-08-22,61
2020-08-23,52
2020-08-24,58
2020-08-25,60
2020-08-26,55
2020-08-27,61
2020-08-28,54
2020-08-29,65
2020-08-30,72
2020-08-31,73
2020-09-01,73
2020-09-02,69
2020-09-03,73
2020-09-04,63
2020-09-05,58
2020-09-06,66
2020-09-07,68
2020-09-08,65
2020-09-09,71
2020-09-10,65
2020-09-11,65
2020-09-12,69
2020-09-13,69
2020-09-14,67
2020-09-15,70
2020-09-16,79
2020-09-17,70
2020-09-18,75
2020-09-19,76
2020-09-20,73
2020-09-21,83
2020-09-22,87
2020-09-23,83
2020-09-24,84
2020-09-25,72
2020-09-26,85
2020-09-27,74
2020-09-28,88
2020-09-29,86
2020-09-30,79
2020-10-01,83
2020-10-02,81
2020-10-03,87
2020-10-04,83
2020-10-05,88
2020-10-06,89
2020-10-07,80
2020-10-08,79
2020-10-09,76
2020-10-10,69
2020-10-11,70
2020-10-12,77
2020-10-13,81
2020-10-14,74
2020-10-15,80
2020-10-16,72
2020-10-17,70
2020-10-18,71
2020-10-19,76
2020-10-20,83
2020-10-21,77
2020-10-22,73
2020-10-23,71
2020-10-24,64
2020-10-25,66
2020-10-26,75
2020-10-27,75
2020-10-28,71
2020-10-29,71
2020-10-30,71
2020-10-31,65
2020-11-01,62
2020-11-02,71
2020-11-03,73
2020-11-04,61
2020-11-05,62
2020-11-06,58
2020-11-07,59
2020-11-08,63
2020-11-09,74
2020-11-10,78
2020-11-11,73
2020-11-12,74
2020-11-13,72
2020-11-14,77
2020-11-15,71
2020-11-16,77
2020-11-17,78
2020-11-18,80
2020-11-19,75
2020-11-20,75
2020-11-21,78
2020-11-22,73
2020-11-23,83
2020-11-24,81
2020-11-25,79
2020-11-26,71
2020-11-27,67
2020-11-28,67
2020-11-29,70
2020-11-30,73
