Category: All categories

Day,tired: (Canada)
2020-04-01,71
2020-04-02,35
2020-04-03,54
2020-04-04,25
2020-04-05,48
2020-04-06,69
2020-04-07,32
2020-04-08,37
2020-04-09,52
2020-04-10,58
2020-04-11,62
2020-04-12,61
2020-04-13,62
2020-04-14,77
2020-04-15,35
2020-04-16,43
2020-04-17,40
2020-04-18,67
2020-04-19,62
2020-04-20,52
2020-04-21,30
2020-04-22,77
2020-04-23,53
2020-04-24,48
2020-04-25,44
2020-04-26,51
2020-04-27,66
2020-04-28,54
2020-04-29,69
2020-04-30,54
2020-05-01,59
2020-05-02,55
2020-05-03,57
2020-05-04,47
2020-05-05,68
2020-05-06,58
2020-05-07,59
2020-05-08,53
2020-05-09,70
2020-05-10,48
2020-05-11,41
2020-05-12,59
2020-05-13,62
2020-05-14,73
2020-05-15,65
2020-05-16,83
2020-05-17,55
2020-05-18,79
2020-05-19,64
2020-05-20,69
2020-05-21,65
2020-05-22,71
2020-05-23,61
2020-05-24,95
2020-05-25,64
2020-05-26,72
2020-05-27,55
2020-05-28,41
2020-05-29,50
2020-05-30,45
2020-05-31,60
2020-06-01,44
2020-06-02,50
2020-06-03,56
2020-06-04,76
2020-06-05,53
2020-06-06,63
2020-06-07,76
2020-06-08,52
2020-06-09,60
2020-06-10,73
2020-06-11,73
2020-06-12,51
2020-06-13,66
2020-06-14,53
2020-06-15,77
2020-06-16,85
2020-06-17,56
2020-06-18,68
2020-06-19,87
2020-06-20,42
2020-06-21,54
2020-06-22,66
2020-06-23,62
2020-06-24,67
2020-06-25,48
2020-06-26,78
2020-06-27,100
2020-06-28,88
2020-06-29,68
2020-06-30,43
2020-07-01,67
2020-07-02,60
2020-07-03,35
2020-07-04,63
2020-07-05,86
2020-07-06,59
2020-07-07,70
2020-07-08,76
2020-07-09,74
2020-07-10,56
2020-07-11,77
2020-07-12,60
2020-07-13,63
2020-07-14,74
2020-07-15,47
2020-07-16,43
2020-07-17,72
2020-07-18,66
2020-07-19,84
2020-07-20,76
2020-07-21,47
2020-07-22,70
2020-07-23,77
2020-07-24,81
2020-07-25,81
2020-07-26,59
2020-07-27,67
2020-07-28,65
2020-07-29,80
2020-07-30,56
2020-07-31,59
2020-08-01,65
2020-08-02,59
2020-08-03,52
2020-08-04,47
2020-08-05,62
2020-08-06,58
2020-08-07,72
2020-08-08,64
2020-08-09,61
2020-08-10,49
2020-08-11,60
2020-08-12,70
2020-08-13,61
2020-08-14,69
2020-08-15,45
2020-08-16,67
2020-08-17,66
2020-08-18,43
2020-08-19,50
2020-08-20,53
2020-08-21,50
2020-08-22,58
2020-08-23,47
2020-08-24,45
2020-08-25,40
2020-08-26,58
2020-08-27,46
2020-08-28,58
2020-08-29,41
2020-08-30,75
2020-08-31,75
2020-09-01,63
2020-09-02,51
2020-09-03,63
2020-09-04,44
2020-09-05,57
2020-09-06,37
2020-09-07,77
2020-09-08,25
2020-09-09,73
2020-09-10,50
2020-09-11,62
2020-09-12,72
2020-09-13,62
2020-09-14,55
2020-09-15,72
2020-09-16,62
2020-09-17,67
2020-09-18,66
2020-09-19,52
2020-09-20,76
2020-09-21,83
2020-09-22,60
2020-09-23,71
2020-09-24,85
2020-09-25,61
2020-09-26,65
2020-09-27,66
2020-09-28,72
2020-09-29,31
2020-09-30,40
2020-10-01,69
2020-10-02,50
2020-10-03,53
2020-10-04,49
2020-10-05,54
2020-10-06,61
2020-10-07,62
2020-10-08,43
2020-10-09,51
2020-10-10,56
2020-10-11,76
2020-10-12,82
2020-10-13,56
2020-10-14,63
2020-10-15,58
2020-10-16,55
2020-10-17,78
2020-10-18,48
2020-10-19,75
2020-10-20,75
2020-10-21,70
2020-10-22,83
2020-10-23,62
2020-10-24,91
2020-10-25,52
2020-10-26,69
2020-10-27,73
2020-10-28,51
2020-10-29,47
2020-10-30,58
2020-10-31,65
2020-11-01,63
2020-11-02,70
2020-11-03,76
2020-11-04,31
2020-11-05,69
2020-11-06,52
2020-11-07,53
2020-11-08,47
2020-11-09,65
2020-11-10,61
2020-11-11,56
2020-11-12,47
2020-11-13,74
2020-11-14,71
2020-11-15,69
2020-11-16,48
2020-11-17,51
2020-11-18,28
2020-11-19,43
2020-11-20,55
2020-11-21,47
2020-11-22,49
2020-11-23,51
2020-11-24,69
2020-11-25,81
2020-11-26,32
2020-11-27,67
2020-11-28,39
2020-11-29,36
2020-11-30,50
