date,actual_cases,new_cases_last_week,new_cases_2w_ago,active_cases,G_cough,G_covid,G_fatigue,G_fever,G_flu,G_headache,G_lockdown,G_sick,G_symptoms,G_tired,G_virus,T_CB_canada-covid19,T_CB_cases-today,T_CB_coronavirus-cases,T_CB_covid-cases,T_CB_covid19-cases,T_CB_covid19-pandemic,T_CB_have-increased,T_CB_johns-hopkins,T_CB_new-covid,T_CB_new-covid19,T_CB_social-distancing,T_CB_spread-of,T_CB_surged-to,T_CB_tested-positive,T_CB_wave-of,T_CU_case,T_CU_cases,T_CU_corona,T_CU_coronavirus,T_CU_covid,T_CU_covid19,T_CU_death,T_CU_deaths,T_CU_hopkins,T_CU_lockdown,T_CU_new,T_CU_ontario,T_CU_ottawa,T_CU_pandemic,T_CU_quarantinepositive,T_CU_testing,T_CU_tests,T_CU_toronto,T_GB_a-pandemic,T_GB_cases-of,T_GB_coronavirus-cases,T_GB_coronavirus-in,T_GB_covid-19,T_GB_covid19-cases,T_GB_covid19-in,T_GB_covid19-pandemic,T_GB_covid19-testing,T_GB_face-masks,T_GB_new-cases,T_GB_social-distancing,T_GB_spread-of,T_GB_tested-positive,T_GB_the-pandemic,T_GB_the-virus,T_GB_to-wear,T_GU_corona,T_GU_crisis,T_GU_death,T_GU_deaths,T_GU_positive,T_GU_restrictions
2020-04-08,9326,9970,5770,14079,585,654,257,594,369,568,77,546,645,334,621,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,24,9,3,10,1,2,0,1,6,4,0,2,0,0,0,2,0,2,1,0,7,2,0,6,0,0,1,17,7,2,3,5,1,1530,15,4,7,18,1
2020-04-09,9381,9662,6780,14712,561,637,274,602,354,551,71,531,627,300,585,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,31,9,4,13,1,2,0,1,8,6,0,2,0,0,0,4,0,1,1,0,6,2,0,5,0,0,1,12,6,1,2,5,1,1552,19,4,5,15,1
2020-04-10,9563,9625,7733,15535,548,621,284,582,344,539,68,519,600,317,555,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,34,9,5,13,1,2,0,1,8,6,0,2,0,0,0,3,0,1,1,0,6,2,0,3,0,0,1,13,5,1,2,5,2,1470,19,6,6,14,1
2020-04-11,10134,9735,8221,16071,547,600,297,562,340,540,66,497,581,321,534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,8,5,12,1,2,0,0,7,3,0,1,0,0,0,2,0,0,1,0,5,1,0,3,0,0,1,12,4,1,0,5,2,1411,18,5,5,12,1
2020-04-12,10417,9553,8752,16607,527,578,302,560,329,545,65,504,563,358,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,8,5,12,1,2,0,1,7,4,0,1,0,0,0,4,0,0,1,0,5,1,1,4,0,0,1,15,3,1,3,7,2,1350,16,5,5,13,1
2020-04-13,10953,9145,9593,17127,499,551,330,574,312,525,65,498,546,371,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,7,4,13,0,2,0,1,8,5,0,1,0,0,0,4,0,0,0,0,5,1,1,2,0,0,1,15,5,1,3,8,2,1295,16,4,7,10,1
2020-04-14,11427,9263,9716,17833,481,534,358,578,297,552,67,502,535,364,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,4,5,9,0,2,0,1,6,7,0,0,0,0,0,8,0,0,0,0,6,0,1,2,0,0,1,16,4,1,3,6,2,1258,13,4,5,7,1
2020-04-15,11498,9326,9970,18671,443,518,375,562,287,537,70,501,515,409,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,5,8,0,0,0,1,4,7,0,0,0,0,0,8,0,0,0,0,7,0,1,2,0,0,0,17,5,0,6,5,1,1176,15,4,3,6,1
2020-04-16,12122,9381,9662,19169,417,504,377,540,282,566,69,514,499,407,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,3,5,0,0,0,1,2,5,0,0,0,0,0,7,0,0,0,0,7,0,1,2,0,1,0,17,5,0,6,5,1,1123,12,3,3,10,0
2020-04-17,12253,9563,9625,19989,401,494,388,529,268,577,69,507,491,398,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,4,0,0,0,1,2,4,0,0,0,0,0,7,0,0,0,0,6,0,1,2,0,1,0,17,5,0,6,6,1,1076,13,1,2,9,0
