columns,,lr_training_r2,lr_rmse,dt_rmse,gbdt_rmse
|['new_cases_last_week', 'T_CU_new']|,0.973156116,596.6767529,2794.011912,2773.688869
|['new_cases_last_week', 'T_GB_spread-of']|,0.975239444,636.7041978,4056.684566,3987.097118
|['new_cases_2w_ago', 'T_CB_surged-to']|,0.910902247,652.2125629,3520.309574,3514.715418
|['new_cases_2w_ago', 'G_flu']|,0.896564475,677.2869965,3638.049645,3713.284362
|['new_cases_last_week', 'T_GB_covid19-in']|,0.972566395,699.3817369,3121.457072,3538.35636
|['new_cases_last_week', 'T_GB_covid19-pandemic']|,0.97686155,716.3286007,3170.338615,3184.020944
|['new_cases_2w_ago', 'T_GU_death']|,0.927688072,721.9796922,3864.626152,3826.803859
|['new_cases_last_week', 'T_GB_covid-19']|,0.980858763,738.9198327,4268.331784,4212.428399
|['new_cases_last_week', 'T_GB_face-masks']|,0.966162153,803.6492566,3121.457072,3152.405336
|['new_cases_last_week', 'G_cough']|,0.964990352,845.5964986,4538.095726,4614.321144
|['new_cases_last_week', 'T_GB_tested-positive']|,0.968201484,854.7140384,2823.619073,2648.120831
|['new_cases_last_week', 'T_GB_coronavirus-in']|,0.966666313,856.1968092,3399.116845,2988.248803
|['new_cases_last_week', 'active_cases']|,0.971467791,867.6630559,3496.939347,3477.958606
|['new_cases_last_week', 'T_GU_death']|,0.972095248,869.9716745,3995.461994,4001.411382
|['new_cases_last_week', 'G_flu']|,0.966238801,871.5688888,3638.049645,3594.127657
|['new_cases_last_week', 'G_symptoms']|,0.970890012,872.4404731,2198.221459,2298.351155
|['new_cases_last_week', 'T_GU_crisis']|,0.980048441,879.4406772,3191.339152,3189.978378
|['new_cases_last_week', 'T_GU_positive']|,0.966319503,920.8205595,3121.457072,3029.547948
|['new_cases_last_week', 'T_CU_pandemic']|,0.964775098,942.6448477,2616.039629,2574.63936
|['new_cases_2w_ago', 'T_GB_face-masks']|,0.897000241,951.4450603,3491.324681,3453.038065
|['new_cases_last_week', 'G_covid']|,0.965242774,966.5101443,2546.128695,2494.281398
|['new_cases_last_week', 'T_CU_cases']|,0.965401178,969.6373716,2546.128695,2248.581588
|['new_cases_last_week', 'T_GU_restrictions']|,0.964767106,978.7942814,3121.457072,3203.683448
|['new_cases_last_week', 'T_GB_cases-of']|,0.964789835,993.4711603,2546.128695,2509.737733
|['new_cases_last_week', 'G_sick']|,0.964895014,1007.158317,2198.221459,2100.505071
|['new_cases_last_week', 'T_CB_covid19-cases']|,0.964943068,1017.321469,4007.379462,4128.729075
|['new_cases_last_week', 'T_GB_the-virus']|,0.964930004,1039.674266,3215.197657,3176.329252
|['new_cases_last_week', 'T_CU_corona']|,0.965864352,1056.016374,1749.076137,1725.30175
