1,2655, 
2,1667,IN THE
3,1572,SOCIAL DISTANCING
4,1548,OF THE
5,1138,FIGHTING STIGMA
6,920,TO THE
7,811,FOR THE
8,811,THE PANDEMIC
9,787,ON THE
10,761,TO BE
11,706,DUE TO
12,670,WE ARE
13,635,AT THE
14,624,COVID19 
15,589, THE
16,531,WITH THE
17,484,OF COVID19
18,472,FOR A
19,461,THE CORONAVIRUS
20,450,IN A
21,432,THIS IS
22,421,HAS BEEN
23,413,AND THE
24,406,HAVE BEEN
25,405,DURING THE
26,403,TO GET
27,402,FROM THE
28,397,NEW YORK
29,389,FROM HOME
30,384,THE COVID19
31,380,THIS PANDEMIC
32,380,WILL BE
33,378,WE HAVE
34,373,A PANDEMIC
35,370,IS A
36,361,I AM
37,359,ONE OF
38,356,HAVE A
39,345,IT WAS
40,342,IF YOU
41,340,VÍA NYTIMES
42,338,THANK YOU
43,320,STIGMA —
44,316,WITH A
45,314,I HAVE
46,314,OF A
47,305,TO SEE
48,301,BACK TO
49,300,YOU TO
50,295,ALL THE
51,289,— 
52,283,COVID19 PANDEMIC
53,275,TO COVID19
54,271,I WAS
55,270,THE FIRST
56,268,LOCKDOWN 
57,267,OF OUR
58,258,AND I
59,256,THE LOCKDOWN
60,251,COVID 19
61,250,IS THE
62,250,OUT OF
63,249,OF MY
64,249,THE BEST
65,248,TO COVID
66,247,OF COVID
67,246,DURING LOCKDOWN
68,246,SINCE LOCKDOWN
69,246,THE WORLD
70,244,WITH MY
71,239,OF LOCKDOWN
72,238,CORONAVIRUS PANDEMIC
73,236,NORTHERN IRELAND
74,236,WORKING FROM
75,231,BY THE
76,230,ON A
77,229,A FEW
78,226,THE COVID
79,223,IN IRELAND
80,222,DURING THIS
81,221,VIEW ARTICLE
82,216,PUBLIC HEALTH
83,215,PANDEMIC 
84,213,NEED TO
85,212,FIRST TIME
86,211,A LITTLE
87,211,BECAUSE OF
88,209,STIGMA CORONAVIRUS
89,208,STIGMABASE —
90,207,AS A
91,206, WE
92,205,IT IS
93,204,OF HEALTH
94,203,A MASK
95,202,TO HAVE
96,201,GOING TO
97,201,YOU CAN
98,198,IN MY
99,198,WAS A
100,197,A LOT
101,197,ABLE TO
102,197,AND A
103,196,A NEW
104,195,FROM CORONAVIRUS
105,194,THE NEW
106,194,TO A
107,192,UNITED KINGDOM
108,191,DRINKING A
109,191,THE LAST
110,189,FOR COVID19
111,189,YOU HAVE
112,188,THANKS TO
113,186,FROM MY
114,186,TIME TO
115,183,BACK IN
116,183,BEEN A
117,183,TO DO
118,183,TO HELP
119,182,THIS YEAR
120,182,TO GO
121,181,ATX AUSTIN
122,181,AUSTIN ALL512
123,181,IN THIS
