date,GU_corona.csv
2020-04-01,168
2020-04-02,256
2020-04-03,226
2020-04-04,244
2020-04-05,273
2020-04-06,165
2020-04-07,198
2020-04-08,190
2020-04-09,174
2020-04-10,167
2020-04-11,183
2020-04-12,218
2020-04-13,128
2020-04-14,116
2020-04-15,137
2020-04-16,127
2020-04-17,150
2020-04-18,85
2020-04-19,54
2020-04-20,40
2020-04-21,33
2020-04-22,37
2020-04-23,28
2020-04-24,33
2020-04-25,39
2020-04-26,45
2020-04-27,40
2020-04-28,42
2020-04-29,72
2020-04-30,66
2020-05-01,73
2020-05-02,70
2020-05-03,87
2020-05-04,60
2020-05-05,73
2020-05-06,90
2020-05-07,74
2020-05-08,75
2020-05-09,57
2020-05-10,59
2020-05-11,51
2020-05-12,63
2020-05-13,62
2020-05-14,68
2020-05-15,59
2020-05-16,76
2020-05-17,105
2020-05-18,97
2020-05-19,59
2020-05-20,59
2020-05-21,78
2020-05-22,66
2020-05-23,53
2020-05-24,68
2020-05-25,50
2020-05-26,71
2020-05-27,50
2020-05-28,61
2020-05-29,57
2020-05-30,46
2020-05-31,54
2020-06-01,39
2020-06-02,60
2020-06-03,53
2020-06-04,41
2020-06-05,47
2020-06-06,47
2020-06-07,68
2020-06-08,66
2020-06-09,45
2020-06-10,26
2020-06-11,54
2020-06-12,26
2020-06-13,40
2020-06-14,57
2020-06-15,42
2020-06-16,32
2020-06-17,32
2020-06-18,24
2020-06-19,43
2020-06-20,35
2020-06-21,36
2020-06-22,39
2020-06-23,28
2020-06-24,34
2020-06-25,26
2020-06-26,31
2020-06-27,44
2020-06-28,44
2020-06-29,24
2020-06-30,32
2020-07-01,26
2020-07-02,28
2020-07-03,33
2020-07-04,50
2020-07-05,43
2020-07-06,14
2020-07-07,19
2020-07-08,30
2020-07-09,32
2020-07-10,37
2020-07-11,25
2020-07-12,42
2020-07-13,25
2020-07-14,31
2020-07-15,20
2020-07-16,26
2020-07-17,41
2020-07-18,39
2020-07-19,41
2020-07-20,20
2020-07-21,34
2020-07-22,27
2020-07-23,30
2020-07-24,33
2020-07-25,39
2020-07-26,54
2020-07-27,36
2020-07-28,27
2020-07-29,31
2020-07-30,15
2020-07-31,28
2020-08-01,30
2020-08-02,36
2020-08-03,40
2020-08-04,23
2020-08-05,39
2020-08-06,40
2020-08-07,17
2020-08-08,36
2020-08-09,38
2020-08-10,21
2020-08-11,26
2020-08-12,39
2020-08-13,18
2020-08-14,25
2020-08-15,25
2020-08-16,40
2020-08-17,29
2020-08-18,31
2020-08-19,27
2020-08-20,36
2020-08-21,33
2020-08-22,33
2020-08-23,26
2020-08-24,29
2020-08-25,26
2020-08-26,22
2020-08-27,38
2020-08-28,17
2020-08-29,35
2020-08-30,25
2020-08-31,25
2020-09-01,26
2020-09-02,25
2020-09-03,7
2020-09-04,36
2020-09-05,21
2020-09-06,32
2020-09-07,21
2020-09-08,22
2020-09-09,20
2020-09-10,21
2020-09-11,23
2020-09-12,26
2020-09-13,26
2020-09-14,25
2020-09-15,21
2020-09-16,21
2020-09-17,18
2020-09-18,37
2020-09-19,36
2020-09-20,44
2020-09-21,21
2020-09-22,23
2020-09-23,24
2020-09-24,19
2020-09-25,25
2020-09-26,28
2020-09-27,31
2020-09-28,24
2020-09-29,29
2020-09-30,18
2020-10-01,23
2020-10-02,15
2020-10-03,10
2020-10-04,19
2020-10-05,11
2020-10-06,12
2020-10-07,17
2020-10-08,12
2020-10-09,22
2020-10-10,27
2020-10-11,18
2020-10-12,15
2020-10-13,21
2020-10-14,24
2020-10-15,20
2020-10-16,17
2020-10-17,27
2020-10-18,18
2020-10-19,22
2020-10-20,15
2020-10-21,28
2020-10-22,19
2020-10-23,22
2020-10-24,41
2020-10-25,23
2020-10-26,23
2020-10-27,21
2020-10-28,35
2020-10-29,30
2020-10-30,22
2020-10-31,31
2020-11-01,31
2020-11-02,16
2020-11-03,31
2020-11-04,19
2020-11-05,30
2020-11-06,27
2020-11-07,23
2020-11-08,36
2020-11-09,10
2020-11-10,19
2020-11-11,13
2020-11-12,6
