date,GU_positive.csv
2020-04-01,3
2020-04-02,2
2020-04-03,2
2020-04-04,1
2020-04-05,3
2020-04-06,5
2020-04-07,2
2020-04-08,0
2020-04-09,1
2020-04-10,0
2020-04-11,2
2020-04-12,0
2020-04-13,2
2020-04-14,1
2020-04-15,4
2020-04-16,0
2020-04-17,2
2020-04-18,7
2020-04-19,2
2020-04-20,1
2020-04-21,5
2020-04-22,3
2020-04-23,4
2020-04-24,4
2020-04-25,2
2020-04-26,6
2020-04-27,5
2020-04-28,10
2020-04-29,13
2020-04-30,10
2020-05-01,18
2020-05-02,11
2020-05-03,12
2020-05-04,7
2020-05-05,4
2020-05-06,11
2020-05-07,13
2020-05-08,10
2020-05-09,13
2020-05-10,5
2020-05-11,14
2020-05-12,12
2020-05-13,12
2020-05-14,10
2020-05-15,7
2020-05-16,6
2020-05-17,12
2020-05-18,20
2020-05-19,7
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,8
2020-05-24,4
2020-05-25,4
2020-05-26,14
2020-05-27,15
2020-05-28,16
2020-05-29,14
2020-05-30,11
2020-05-31,11
2020-06-01,7
2020-06-02,11
2020-06-03,6
2020-06-04,12
2020-06-05,11
2020-06-06,3
2020-06-07,9
2020-06-08,10
2020-06-09,10
2020-06-10,8
2020-06-11,3
2020-06-12,10
2020-06-13,3
2020-06-14,7
2020-06-15,14
2020-06-16,6
2020-06-17,13
2020-06-18,9
2020-06-19,15
2020-06-20,10
2020-06-21,4
2020-06-22,9
2020-06-23,10
2020-06-24,11
2020-06-25,13
2020-06-26,10
2020-06-27,2
2020-06-28,7
2020-06-29,13
2020-06-30,11
2020-07-01,12
2020-07-02,15
2020-07-03,11
2020-07-04,8
2020-07-05,6
2020-07-06,7
2020-07-07,10
2020-07-08,6
2020-07-09,10
2020-07-10,11
2020-07-11,15
2020-07-12,15
2020-07-13,9
2020-07-14,11
2020-07-15,3
2020-07-16,11
2020-07-17,17
2020-07-18,6
2020-07-19,9
2020-07-20,10
2020-07-21,11
2020-07-22,14
2020-07-23,12
2020-07-24,13
2020-07-25,11
2020-07-26,6
2020-07-27,10
2020-07-28,15
2020-07-29,7
2020-07-30,9
2020-07-31,0
2020-08-01,13
2020-08-02,6
2020-08-03,6
2020-08-04,15
2020-08-05,7
2020-08-06,10
2020-08-07,11
2020-08-08,5
2020-08-09,5
2020-08-10,9
2020-08-11,12
2020-08-12,8
2020-08-13,9
2020-08-14,12
2020-08-15,11
2020-08-16,4
2020-08-17,15
2020-08-18,14
2020-08-19,7
2020-08-20,14
2020-08-21,5
2020-08-22,11
2020-08-23,13
2020-08-24,11
2020-08-25,7
2020-08-26,5
2020-08-27,8
2020-08-28,16
2020-08-29,15
2020-08-30,12
2020-08-31,4
2020-09-01,19
2020-09-02,7
2020-09-03,16
2020-09-04,11
2020-09-05,5
2020-09-06,13
2020-09-07,8
2020-09-08,9
2020-09-09,8
2020-09-10,10
2020-09-11,8
2020-09-12,8
2020-09-13,9
2020-09-14,13
2020-09-15,16
2020-09-16,3
2020-09-17,5
2020-09-18,16
2020-09-19,9
2020-09-20,6
2020-09-21,2
2020-09-22,7
2020-09-23,7
2020-09-24,4
2020-09-25,7
2020-09-26,4
2020-09-27,3
2020-09-28,10
2020-09-29,18
2020-09-30,8
2020-10-01,4
2020-10-02,15
2020-10-03,7
2020-10-04,5
2020-10-05,7
2020-10-06,10
2020-10-07,8
2020-10-08,10
2020-10-09,12
2020-10-10,4
2020-10-11,4
2020-10-12,13
2020-10-13,7
2020-10-14,10
2020-10-15,8
2020-10-16,8
2020-10-17,9
2020-10-18,2
2020-10-19,7
2020-10-20,11
2020-10-21,8
2020-10-22,5
2020-10-23,7
2020-10-24,8
2020-10-25,7
2020-10-26,5
2020-10-27,5
2020-10-28,7
2020-10-29,13
2020-10-30,6
2020-10-31,6
2020-11-01,4
2020-11-02,5
2020-11-03,8
2020-11-04,2
2020-11-05,8
2020-11-06,2
2020-11-07,12
2020-11-08,4
2020-11-09,8
2020-11-10,9
2020-11-11,5
2020-11-12,5
2020-11-13,14
2020-11-14,10
2020-11-15,5
2020-11-16,7
2020-11-17,4
2020-11-18,7
2020-11-19,4
2020-11-20,12
2020-11-21,5
2020-11-22,3
2020-11-23,7
2020-11-24,5
2020-11-25,6
2020-11-26,13
2020-11-27,2
2020-11-28,4
2020-11-29,8
2020-11-30,4
2020-12-01,0
